term,beta_1se_halfand10,beta_min_halfand10,beta_1se_1and10,beta_min_1and10,beta_1se_1and20,beta_min_1and20,beta_1se_Tracts_half,beta_min_Tracts_half,beta_1se_Tracts1,beta_min_Tracts1
Urban1:CensusTract36067010200,0,0,0,0,2.585866298497033e-4,2.585866298497033e-4,0,0,2.585866298497033e-4,2.585866298497033e-4
Urban1:CensusTract36067011600,0,0,0,0,2.479126271655088e-4,2.479126271655088e-4,0,0,2.479126271655088e-4,2.479126271655088e-4
Urban1:CensusTract36067011800,0,0,0,0,0.03270066090509707,0.03270066090509707,0,0,0.03270066090509707,0.03270066090509707
Urban1:CensusTract36067015100,0,0,0,0,1.9948789565449258e-4,1.9948789565449258e-4,0,0,1.9948789565449258e-4,1.9948789565449258e-4
Urban1:CensusTract36071013800,0,0,0,0,2.1965093377829432e-4,2.1965093377829432e-4,0,0,2.1965093377829432e-4,2.1965093377829432e-4
Urban1:CensusTract36071014301,0,0,0,0,2.641603819767009e-4,2.641603819767009e-4,0,0,2.641603819767009e-4,2.641603819767009e-4
Urban1:CensusTract36083052501,0,0,0,0,2.2666215169312676e-4,2.2666215169312676e-4,0,0,2.2666215169312676e-4,2.2666215169312676e-4
Urban1:CensusTract36087010802,0,0,0,0,4.354956194220416e-4,4.354956194220416e-4,0,0,4.354956194220416e-4,4.354956194220416e-4
Urban1:CensusTract36087010901,0,0,0,0,4.3366103644634947e-4,4.3366103644634947e-4,0,0,4.3366103644634947e-4,4.3366103644634947e-4
Urban1:CensusTract36087011302,0,0,0,0,4.421318902582792e-4,4.421318902582792e-4,0,0,4.421318902582792e-4,4.421318902582792e-4
Urban1:CensusTract36089490300,0,0,0,0,2.1549468560400214e-4,2.1549468560400214e-4,0,0,2.1549468560400214e-4,2.1549468560400214e-4
Urban1:CensusTract36089492700,0,0,0,0,1.5443512427609e-4,1.5443512427609e-4,0,0,1.5443512427609e-4,1.5443512427609e-4
Urban1:CensusTract36091062406,0,0,0,0,2.5606753519937284e-4,2.5606753519937284e-4,0,0,2.5606753519937284e-4,2.5606753519937284e-4
Urban1:CensusTract36099950500,0,0,0,0,2.173671585248135e-4,2.173671585248135e-4,0,0,2.173671585248135e-4,2.173671585248135e-4
Urban1:CensusTract36103110401,0,0,0,0,2.5185418612473333e-4,2.5185418612473333e-4,0,0,2.5185418612473333e-4,2.5185418612473333e-4
Urban1:CensusTract36103110402,0,0,0,0,2.456551556656186e-4,2.456551556656186e-4,0,0,2.456551556656186e-4,2.456551556656186e-4
Urban1:CensusTract36103110501,0,0,0,0,2.69215007716711e-4,2.69215007716711e-4,0,0,2.69215007716711e-4,2.69215007716711e-4
Urban1:CensusTract36103110502,0,0,0,0,1.0510367192820441e-4,1.0510367192820441e-4,0,0,1.0510367192820441e-4,1.0510367192820441e-4
Urban1:CensusTract36103111703,0,0,0,0,7.206943373901276e-4,7.206943373901276e-4,0,0,7.206943373901276e-4,7.206943373901276e-4
Urban1:CensusTract36103111802,0,0,0,0,7.17825648512997e-4,7.17825648512997e-4,0,0,7.17825648512997e-4,7.17825648512997e-4
Urban1:CensusTract36103112204,0,0,0,0,0.014233713010052454,0.014233713010052454,0,0,0.014233713010052454,0.014233713010052454
Urban1:CensusTract36103112212,0,0,0,0,2.664142096261839e-4,2.664142096261839e-4,0,0,2.664142096261839e-4,2.664142096261839e-4
Urban1:CensusTract36103134907,0,0,0,0,2.3441809874266023e-4,2.3441809874266023e-4,0,0,2.3441809874266023e-4,2.3441809874266023e-4
Urban1:CensusTract36103135208,0,0,0,0,6.285450460964569e-4,6.285450460964569e-4,0,0,6.285450460964569e-4,6.285450460964569e-4
Urban1:CensusTract36103145807,0,0,0,0,2.5018619097754894e-4,2.5018619097754894e-4,0,0,2.5018619097754894e-4,2.5018619097754894e-4
Urban1:CensusTract36103145808,0,0,0,0,2.592725202417283e-4,2.592725202417283e-4,0,0,2.592725202417283e-4,2.592725202417283e-4
Urban1:CensusTract36103145902,0,0,0,0,3.57853001118992e-4,3.57853001118992e-4,0,0,3.57853001118992e-4,3.57853001118992e-4
Urban1:CensusTract36103147100,0,0,0,0,2.572695311131433e-4,2.572695311131433e-4,0,0,2.572695311131433e-4,2.572695311131433e-4
Urban1:CensusTract36103158009,0,0,0,0,2.7216648076150115e-4,2.7216648076150115e-4,0,0,2.7216648076150115e-4,2.7216648076150115e-4
Urban1:CensusTract36103158104,0,0,0,0,2.5254205890359416e-4,2.5254205890359416e-4,0,0,2.5254205890359416e-4,2.5254205890359416e-4
Urban1:CensusTract36103158207,0,0,0,0,2.143392672043634e-4,2.143392672043634e-4,0,0,2.143392672043634e-4,2.143392672043634e-4
Urban1:CensusTract36103158319,0,0,0,0,2.70214624660847e-4,2.70214624660847e-4,0,0,2.70214624660847e-4,2.70214624660847e-4
Urban1:CensusTract36103158409,0,0,0,0,1.9276187378349625e-4,1.9276187378349625e-4,0,0,1.9276187378349625e-4,1.9276187378349625e-4
Urban1:CensusTract36103170001,0,0,0,0,2.1982407612773576e-4,2.1982407612773576e-4,0,0,2.1982407612773576e-4,2.1982407612773576e-4
Urban1:CensusTract36103170201,0,0,0,0,2.0766601219186334e-4,2.0766601219186334e-4,0,0,2.0766601219186334e-4,2.0766601219186334e-4
Urban1:CensusTract36113070601,0,0,0,0,1.907865870167107e-4,1.907865870167107e-4,0,0,1.907865870167107e-4,1.907865870167107e-4
Urban1:CensusTract36119008302,0,0,0,0,6.366761616576541e-4,6.366761616576541e-4,0,0,6.366761616576541e-4,6.366761616576541e-4
Urban1:CensusTract36119011400,0,0,0,0,0.0010475451120700555,0.0010475451120700555,0,0,0.0010475451120700555,0.0010475451120700555
